,code,dept,title,min_units,description,prereqs
46,TDGE 11,TDGE,Great Performances on Film (4),4.0,Course examines major accomplishments in screen acting from the work of actors in films or in film genres. May be taken for credit three times. Prerequisites: none.,none
47,TDGE 12,TDGE,Topics in Cinema and Race (4),4.0,"This course explores filmed representations of race and diversity and examines works by underrepresented filmmakers. Course topics vary; they include African American film, Latino/a film, Asian American film, films by Spike Lee, stereotypes on film, and other such topics. Students may not enroll in the same topic of TDGE 12 that they have already taken in TDGE 11, Great Performances on Film. This will count as a duplicate of credit for repeating the same film topic. May be taken for credit two times. Prerequisites: none.",none
48,TDGE 25,TDGE,Public Speaking (4),4.0,"This course is designed to establish a clear understanding of the fundamentals of effective oral communication. The methodologies explore the integration of relaxation, concentration, organization, and clear voice and diction as applied to various public speaking modes. Prerequisites: none.",none
49,TDGE 50,TDGE,Musical Theatre Chorus (2),2.0,Study and perform selected songs from American musical theatre. Open to all students. No audition required. Attendance at rehearsals and performance are mandatory. P/NP grades only. May be taken for credit six times. Prerequisites: none.,none
50,TDGE 87,TDGE,First-year Student Seminar in Theatre and Dance (1),1.0,"Seminar on a topic in theatre or dance on a level appropriate for first-year students, conducted in an informal, small group setting limited to ten to twenty students. Topics will vary. Prerequisites: open to first-year students only.",open to first-year students only
51,TDGE 89,TDGE,Dance Movement Exploration (4),4.0,An introduction to dance movement and understanding your body. A contemporary approach to dancing and its many genres as an expressive medium and form of communication. A movement course but no dance training or background in dance needed. May be taken for credit three times. Prerequisites: none.,none
52,TDGE 100,TDGE,Creating the Role of “Leader” (4),4.0,"Acting and leadership require “choices” to play a role. The role of leader requires authenticity, collaboration, listening, presence, vision, and influence. Students will explore characteristics of strong leaders, and utilizing traditional acting techniques build powerful capabilities of leadership. No prior theatre/acting experience needed. Prerequisites: upper-division standing or consent of instructor.",upper-division standing or consent of instructor
53,TDGE 105,TDGE,Exploring Acting (4),4.0,"An acting course for nonmajors, building on the acting fundamentals developed in TDGE 5. Using analysis of film acting to practice in studio exercises and scene work, student actors learn to approach a text using imagination as their primary tool. Prerequisites: TDGE 5 or consent of instructor.",TDGE 5 or consent of instructor
54,TDGE 122,TDGE,The Films of Woody Allen (4),4.0,"Students explore a variety of issues: screenwriting, directing, cinematography, and editing; the intersection of comedy and tragedy in Allen’s works; recurring themes; and critical responses. Students view thirteen films and write two three-page essays and one ten-page research paper. Prerequisites: upper-division standing.",upper-division standing
55,TDGE 124,TDGE,Cult Films: Weirdly Dramatic (4),4.0,"A select survey of eight to ten exceptional offbeat, frequently low-budget films from the last sixty years that have attained cult status. The mix includes Tod Browning’s Freaks (1932) to John Water’s Pink Flamingos (1973). Aspects of bad taste, cinematic irony, and theatrical invention will be highlighted. Prerequisites: upper-division standing.",upper-division standing
56,TDGE 125,TDGE,Topics in Theatre and Film (4),4.0,"Great films and the performance of the actors in them are analyzed in their historical, cinematic, or theatrical contexts. This course examines the actor’s contribution to classic cinema and the social and aesthetic forces at work in film. Prerequisites: upper-division standing or consent of instructor.",upper-division standing or consent of instructor
57,TDGE 126,TDGE,Storytelling and Design in Animation (4),4.0,"This course will use a broad range of animation styles and genres to examine larger issues in art practice, focusing closely on the relationship between form and content, and how sound/set/costume/character design impacts narrative. Prerequisites: upper-division standing or consent of instructor.",upper-division standing or consent of instructor
58,TDGE 131,TDGE,Playing Indian: Native American and First Nations Cinema (4),4.0,"This course examines recent movies by Native American/First Nations artists that labor to deconstruct and critique reductive stereotypes about America’s First Peoples in Hollywood cinema. Carving spaces of “visual sovereignty” (Raheja), these films propose complex narratives and characterizations of indigeneity. Students may not receive credit for both TDGE 131 and ETHN 163F. Prerequisites: upper-division standing or consent of instructor.",upper-division standing or consent of instructor
